epoch,lr,train_loss,train_l1,train_ssim,train_freq,train_psnr,grad_norm,loss_delta,val_psnr,val_ssim
1,0.00000100,0.505971,0.402159,0.875406,0.033810,6.8351,0.749293,0.000000,,
2,0.00002090,0.499909,0.397290,0.856328,0.033291,6.9394,0.729226,-0.006062,,
3,0.00004080,0.502825,0.400607,0.862547,0.033051,6.8718,0.724079,0.002916,,
4,0.00006070,0.493531,0.391117,0.851745,0.032866,6.9646,0.633685,-0.009294,,
5,0.00008060,0.498066,0.395657,0.839102,0.034757,6.9224,0.534452,0.004535,,
6,0.00010050,0.491598,0.388046,0.826961,0.034171,7.0239,0.417338,-0.006467,,
7,0.00012040,0.478312,0.375041,0.785436,0.032046,7.3479,0.363397,-0.013286,,
8,0.00014030,0.466472,0.360437,0.770917,0.033290,7.5482,0.289694,-0.011840,,
9,0.00016020,0.459508,0.352495,0.750958,0.032357,7.7308,0.365409,-0.006964,,
10,0.00018010,0.435937,0.333656,0.699641,0.031818,8.0603,0.602341,-0.023571,,
11,0.00020000,0.388442,0.295795,0.616540,0.032748,9.0294,0.914881,-0.047495,,
12,0.00019999,0.316982,0.235911,0.534283,0.031965,10.8279,0.896126,-0.071460,,
13,0.00019998,0.289288,0.214239,0.524759,0.032216,11.7675,0.680212,-0.027694,,
14,0.00019995,0.267904,0.197752,0.505617,0.032508,12.4396,0.567149,-0.021384,,
15,0.00019991,0.261773,0.194742,0.495510,0.031022,12.7174,0.454643,-0.006131,,
16,0.00019985,0.259974,0.194108,0.498568,0.031585,12.7199,0.427225,-0.001799,,
17,0.00019979,0.256561,0.189044,0.508430,0.032557,12.8913,0.375009,-0.003413,,
